STT,Mã đơn vị ,Tên đơn vị ,Tên viết tắt,Loại đơn vị,Tên đơn vị cha,Trạng thái
109,KVMB,Khu vực Miền Bắc,KVMB,KHU VỰC,Công ty Miền Bắc,Hoạt động
110,KVMT,Khu vực Miền Trung,KVMT,KHU VỰC,Công ty Miền Trung,Hoạt động
111,KVTNB,Khu vực Tây Nam Bộ,KVTNB,KHU VỰC,Công ty Tây Nam Bộ,Hoạt động
112,KV_KHTM,Khu vực Khách hàng thương mại,KHTM,KHU VỰC,Tổng Công ty,Hoạt động
113,LAMDONG,Tỉnh Lâm Đồng,Tỉnh Lâm Đồng,TỈNH,Khu vực Đông Nam Bộ,Hoạt động
114,LONGAN,Tỉnh Long An,Tỉnh Long An,TỈNH,Khu vực Đông Nam Bộ,Hoạt động
115,NAMDINH,Tỉnh Nam Định,Nam Định,TỈNH,Khu vực Miền Bắc,Hoạt động
116,NGHEAN,Tỉnh Nghệ An,Tỉnh Nghệ An,TỈNH,Khu vực Miền Bắc,Hoạt động
117,NINHBINH,Tỉnh Ninh Bình,Ninh Bình,TỈNH,Khu vực Miền Bắc,Hoạt động
118,NINHTHUAN,Tỉnh Ninh Thuận,Tỉnh Ninh Thuận,TỈNH,Khu vực Đông Nam Bộ,Hoạt động
119,NNDT,Nông nghiệp đô thị,NNDT,KÊNH GT,Phân Bón Phú Mỹ,Hoạt động
120,NPPDT1,NPP Việt Anh,NPP VA,C1,Tỉnh Đào tạo 1,Hoạt động
121,NPPDT2,NPP Đào tạo 2,NPP DT2,C1,Tỉnh Đào tạo 1,Hoạt động
122,NPPDT3,NPP Đào tạo 3,NPP03 DT3,C1,Tỉnh Đào tạo 2,Hoạt động
123,NPPDT4,NPP Đào tạo 4,NPP04 DT4,C1,Tỉnh Đào tạo 2,Hoạt động
124,NPPDT6,NPP Đào tạo 6,NPP DT6,C1,Tỉnh Đào tạo 3,Hoạt động
125,NPPDT7,NPP Đào tạo 7,NPP Đào tạo 7,C1,Tỉnh Đào tạo 3,Hoạt động
126,NPP_AO_001,C1 Ảo,C1 Ảo,C1,Tỉnh khách hàng thương mại,Hoạt động
127,NPP_LONGCHAU,Công ty Long Châu,LC,C1,Tỉnh Bến Tre,Hoạt động
128,PHUYEN,Tỉnh Phú Yên,Phú Yên,TỈNH,Khu vực Miền Trung,Hoạt động
129,PVFCCO_PCE,Công ty Miền Trung,PCE,CTVM,Kênh phân phối truyền thống,Hoạt động
130,PVFCCO_PSE,Công ty Đông Nam Bộ,PSE,CTVM,Kênh phân phối truyền thống,Hoạt động
131,PVFCCO_PSW,Công ty Tây Nam Bộ,PSW,CTVM,Kênh phân phối truyền thống,Hoạt động
132,PVFCCo_HQ,Tổng Công ty,HQ,CTVM,Kênh phân phối truyền thống,Hoạt động
133,PVFCCo_PMB,Công ty Miền Bắc,PMB,CTVM,Kênh phân phối truyền thống,Hoạt động
134,QUANGBINH,Tỉnh Quảng Bình,Quảng Bình,TỈNH,Khu vực Miền Bắc,Hoạt động
135,QUANGNGAI,Tỉnh Quảng Ngãi,Quảng Ngãi,TỈNH,Khu vực Miền Trung,Hoạt động
136,QUANGTRI,Tỉnh Quảng Trị,Quảng Trị,TỈNH,Khu vực Miền Trung,Hoạt động
137,SOCTRANG,Tỉnh Sóc Trăng,Sóc Trăng,TỈNH,Khu vực Tây Nam Bộ,Hoạt động
138,SONLA,Tỉnh Sơn La,Sơn La,TỈNH,Khu vực Miền Bắc,Hoạt động
139,TAYNINH,Tỉnh Tây Ninh,Tỉnh Tây Ninh,TỈNH,Khu vực Đông Nam Bộ,Hoạt động
140,THAIBINH,Tỉnh Thái Bình,Thái Bình,TỈNH,Khu vực Miền Bắc,Hoạt động
141,THAINGUYEN,Tỉnh Thái Nguyên,Thái Nguyên,TỈNH,Khu vực Miền Bắc,Hoạt động
142,THANHHOA,Tỉnh Thanh Hóa,Thanh Hóa,TỈNH,Khu vực Miền Bắc,Hoạt động
143,THUATHIENHUE,Tỉnh Thừa Thiên Huế,Thừa Thiên Huế,TỈNH,Khu vực Miền Trung,Hoạt động
144,TIENGIANG,Tỉnh Tiền Giang,Tiền Giang,TỈNH,Khu vực Tây Nam Bộ,Hoạt động
145,TINHDT1,Tỉnh Đào tạo 1,Tỉnh DT1,TỈNH,KV Đào tạo 1,Hoạt động
146,TINHDT2,Tỉnh Đào tạo 2,Tỉnh DT2,TỈNH,KV Đào tạo 1,Hoạt động
147,TINHDT3,Tỉnh Đào tạo 3,Tỉnh DT3,TỈNH,KV Đào tạo 1,Hoạt động
148,TINH_KHTM,Tỉnh khách hàng thương mại,TINH KHTM,TỈNH,Khu vực Khách hàng thương mại,Hoạt động
149,TPCANTHO,Tp. Cần Thơ,Cần Thơ,TỈNH,Khu vực Tây Nam Bộ,Hoạt động
150,TRAVINH,Tỉnh Trà Vinh,Trà Vinh,TỈNH,Khu vực Tây Nam Bộ,Hoạt động
151,VINHLONG,Tỉnh Vĩnh Long,Vĩnh Long,TỈNH,Khu vực Tây Nam Bộ,Hoạt động
152,VUNGDT,Vùng đào tạo 1,Vùng đào tạo,CTVM,Kênh đào tạo,Hoạt động
