date,url_list,Webste,Title,Sapo,Content
08/11/2023,https://petrovietnam.petrotimes.vn/bai-hoc-ve-xay-dung-dang-o-petrovietnam-697364.html,petrovietnam.petrotimes.vn,titleDtails clearfix,sapo clearfix,boxTextDtails __MASTERCMS_CONTENT __MB_CONTENT_FOR_PRINTER
08/11/2023,https://petrovietnam.petrotimes.vn/ky-1-cong-tac-to-chuc-can-bo-linh-hoat-hieu-qua-698686.html,petrovietnam.petrotimes.vn,titleDtails clearfix,sapo clearfix,boxTextDtails __MASTERCMS_CONTENT __MB_CONTENT_FOR_PRINTER
07/11/2023,https://petrovietnam.petrotimes.vn/tac-pham-du-thi-petrovietnam-trong-toi-cac-anh-don-cua-tac-gia-nguyen-quang-hai-pvfcco-697857.html,petrovietnam.petrotimes.vn,titleDtails clearfix,sapo clearfix,boxTextDtails __MASTERCMS_CONTENT __MB_CONTENT_FOR_PRINTER
30/10/2023,https://petrovietnam.petrotimes.vn/tac-pham-du-thi-petrovietnam-trong-toi-cac-anh-don-cua-tac-gia-nguyen-quang-hai-pvfcco-697857.html,petrovietnam.petrotimes.vn,titleDtails clearfix,sapo clearfix,boxTextDtails __MASTERCMS_CONTENT __MB_CONTENT_FOR_PRINTER
30/10/2023,https://petrovietnam.petrotimes.vn/tac-pham-du-thi-petrovietnam-trong-toi-cac-anh-don-cua-tac-gia-hoang-linh-pvfcco-697836.html,petrovietnam.petrotimes.vn,titleDtails clearfix,sapo clearfix,boxTextDtails __MASTERCMS_CONTENT __MB_CONTENT_FOR_PRINTER
27/10/2023,https://petrovietnam.petrotimes.vn/lanh-dao-evn-va-petrovietnam-trao-doi-ve-cong-tac-cung-cap-khi-cho-san-xuat-dien-nam-2024-697627.html,petrovietnam.petrotimes.vn,titleDtails clearfix,sapo clearfix,boxTextDtails __MASTERCMS_CONTENT __MB_CONTENT_FOR_PRINTER
28/11/2023,https://vietnambiz.vn/gia-phan-bon-hom-nay-2811-lang-song-tai-khu-vuc-mien-trung-va-tay-nam-bo-20231127118499.htm,vietnambiz.vn,vnbcb-title,vnbcbc-sapo,vnbcbc-body vceditor-content 
25/11/2023,https://vietnambiz.vn/gia-phan-bon-hom-nay-2511-phan-dap-hong-ha-dinh-vu-tiep-tuc-di-ngang-20231124104150975.htm,vietnambiz.vn,vnbcb-title,vnbcbc-sapo,vnbcbc-body vceditor-content 
15/11/2023,https://vietnambiz.vn/gia-phan-bon-hom-nay-1511-gia-thap-nhat-tai-mien-bac-la-270000-dongbao-202311149567963.htm,vietnambiz.vn,vnbcb-title,vnbcbc-sapo,vnbcbc-body vceditor-content 
10/11/2023,https://vietnambiz.vn/gia-phan-bon-hom-nay-1011-tiep-tuc-on-dinh-thap-nhat-260000-dongbao-2023119114845677.htm,vietnambiz.vn,vnbcb-title,vnbcbc-sapo,vnbcbc-body vceditor-content 
